id_cliente;nombre;apellido;edad;email;telefono;calle;numero;piso_dto;cp;ciudad;provincia;pais;genero
1;Luz;Martinez;44;LuzMartinez@sodimac.com;7048756551;Rivadavia;847;9;1001;Retiro;Capital Federal;Argentina;femenino
2;Lina;Rodriguez;46;Lina_Rodriguez@hotmail.com;6038964134;San Martin;148;18 E;1002;Monserrat;Capital Federal;Argentina;femenino
3;Jose;Lopez;51;Jose_Lopez@gmail.com;5146799296;Belgrano;79420;11 E;1372;Ciudad Autonoma Buenos Aires;Capital Federal;Argentina;masculino
4;Virginia;Ramirez;56;Virginia_Ramirez@yahoo.com;5218479926;Rivadavia;22;2 E;1003;San Nicolas;Capital Federal;Argentina;femenino
5;Javier;Martinez;23;Javier_Martinez@yahoo.com;3970214580;Independencia;1; E;5437;Carpinteria;San Juan;Argentina;masculino
6;Virginia;Lopez;41;Virginia_Lopez@sodimac.com;6325250214;Rivadavia;75449;2;1004;San Nicolas;Capital Federal;Argentina;femenino
7;Allard;Torres;62;AllardTorres@sodimac.com;9022099512;San Martin;81610;9;1005;San Nicolas;Capital Federal;Argentina;masculino
8;Rocio;Torres;66;Rocio_Torres@telegram.com;6454707350;Belgrano;762;1 E;3125;Dmento G Guemes;Entre Rios;Argentina;femenino
9;Patricia;Hernandez;28;Patricia_Hernandez@gmail.com;214849996;San Martin;12;1;1006;Retiro;Capital Federal;Argentina;femenino
10;Magdalena;Lopez;47;Magdalena_Lopez@hotmail.com;1637603029;Independencia;2;;1007;Retiro;Capital Federal;Argentina;femenino
11;Haskell;Rodriguez;53;HaskellRodriguez@yahoo.com;2486966021;Belgrano;7171;19 C;1008;Monserrat;Capital Federal;Argentina;masculino
12;Wilt;Garcia;53;WiltGarcia@telegram.com;8267993398;Rivadavia;6381;;1009;San Nicolas;Capital Federal;Argentina;masculino
13;Lucia;Hernandez;65;Lucia_Hernandez@gmail.com;6865003209;Rivadavia;11283;16 E;2453;Carlos Pellegrini;Santa Fe;Argentina;femenino
14;Jose;Lopez;29;Jose_Lopez@hotmail.com;6506374101;Rivadavia;14428;13 D;1104;Zona Puerto;Capital Federal;Argentina;masculino
15;Rosana;Perez;34;RosanaPerez@hotmail.com;942928385;San Martin;51;1 D;1010;San Nicolas;Capital Federal;Argentina;femenino
16;Juan;Hernandez;30;Juan_Hernandez@hotmail.com;2443146081;Sarmiento;9921;4 E;1619;Garin;Buenos Aires;Argentina;masculino
17;Rebeca;Sanchez;20;Rebeca_Sanchez@telegram.com;2549348915;Belgrano;3;19 C;1011;Retiro;Capital Federal;Argentina;femenino
18;Nadia;Torres;34;Nadia_Torres@hotmail.com;5401847424;Belgrano;0;8 C;1012;Monserrat;Capital Federal;Argentina;femenino
19;Mia;Perez;23;Mia_Perez@hotmail.com;8578668375;Rivadavia;721;13 E;1013;San Nicolas;Capital Federal;Argentina;femenino
20;Elvira;Perez;55;Elvira_Perez@hotmail.com;2173431285;Rivadavia;7726;;1014;Recoleta;Capital Federal;Argentina;femenino
21;Javier;Martinez;75;Javier_Martinez@sodimac.com;681845430;San Martin;83;7 D;1015;San Nicolas;Capital Federal;Argentina;masculino
22;Sheena;Rodriguez;22;SheenaRodriguez@telegram.com;1218105224;Rivadavia;49033;;1016;Recoleta;Capital Federal;Argentina;femenino
23;Lola;Garcia;60;Lola_Garcia@telegram.com;9128534964;San Martin;416;;1017;San Nicolas;Capital Federal;Argentina;femenino
24;Lucila;Martinez;67;LucilaMartinez@sodimac.com;652026036;Sarmiento;56163; E;1018;Recoleta;Capital Federal;Argentina;femenino
25;Carolin;Garcia;35;CarolinGarcia@gmail.com;610569287;Rivadavia;1;1 D;1019;Recoleta;Capital Federal;Argentina;femenino
26;Lucy;Garcia;74;LucyGarcia@telegram.com;8084800728;Sarmiento;19;18;1020;Recoleta;Capital Federal;Argentina;femenino
27;Gallagher;Rodriguez;58;GallagherRodriguez@gmail.com;1870920309;San Martin;7132;17 C;1021;Recoleta;Capital Federal;Argentina;masculino
28;Concepcion;Martinez;42;Concepcion_Martinez@yahoo.com;9452455322;Sarmiento;281;6 E;3372;Caraguatay;Misiones;Argentina;femenino
29;Harvey;Lopez;64;HarveyLopez@telegram.com;9259931649;Rivadavia;3644;19 B;6700;La Loma;Buenos Aires;Argentina;masculino
30;Aland;Sanchez;64;AlandSanchez@telegram.com;2101761548;Rivadavia;4859;15;1022;Recoleta;Capital Federal;Argentina;masculino
31;Ingra;Ramirez;69;IngraRamirez@sodimac.com;8588185245;San Martin;3472;1 B;1023;Balvanera;Capital Federal;Argentina;femenino
32;Ofelia;Martinez;52;Ofelia_Martinez@telegram.com;6896609303;Independencia;9131;7 C;1024;Balvanera;Capital Federal;Argentina;femenino
33;Torrey;Rodriguez;67;TorreyRodriguez@gmail.com;3814520076;Independencia;4;11 E;1025;Recoleta;Capital Federal;Argentina;masculino
34;Luis;Sanchez;34;Luis_Sanchez@sodimac.com;2217584200;Sarmiento;34764;1 D;1026;Balvanera;Capital Federal;Argentina;masculino
35;Pedro;Gonzalez;36;Pedro_Gonzalez@sodimac.com;5047583228;Belgrano;37;;1027;Balvanera;Capital Federal;Argentina;masculino
36;Eliza;Sanchez;60;ElizaSanchez@sodimac.com;4301090045;Rivadavia;8;;1028;Balvanera;Capital Federal;Argentina;femenino
37;Harvey;Hernandez;73;HarveyHernandez@yahoo.com;5221627116;San Martin;18501;2 D;1029;Balvanera;Capital Federal;Argentina;masculino
38;Lucia;Ramirez;28;Lucia_Ramirez@gmail.com;2891147057;San Martin;24879;17 B;7160;Maipu;Buenos Aires;Argentina;femenino
39;Jameson;Ramirez;41;JamesonRamirez@hotmail.com;6335639297;San Martin;55;1;3365;Obera;Misiones;Argentina;masculino
40;Gloria;Gonzalez;40;Gloria_Gonzalez@sodimac.com;5010492709;San Martin;48474;13 B;1030;Balvanera;Capital Federal;Argentina;femenino
41;Aurora;Hernandez;41;Aurora_Hernandez@sodimac.com;6746569438;Rivadavia;51578;15 E;1031;Balvanera;Capital Federal;Argentina;femenino
42;Ana;Martinez;63;AnaMartinez@telegram.com;1468753649;Belgrano;17777;17 D;1032;Balvanera;Capital Federal;Argentina;femenino
43;Laraine;Sanchez;53;LaraineSanchez@hotmail.com;6628506517;Sarmiento;24;13;8424;Aguada De Guerra;Rio Negro;Argentina;masculino
44;Monica;Hernandez;43;Monica_Hernandez@telegram.com;1636678270;Rivadavia;74;4 C;7114;C 15 C De La Glo;Buenos Aires;Argentina;femenino
45;Dora;Perez;47;Dora_Perez@sodimac.com;1014207975;Independencia;2;9 E;1307;Ciudad Autonoma Buenos Aires;Capital Federal;Argentina;femenino
46;Penelope;Rodriguez;30;Penelope_Rodriguez@gmail.com;5980388060;Independencia;60535;3 D;1033;Monserrat;Capital Federal;Argentina;femenino
47;Nancy;Gonzalez;36;Nancy_Gonzalez@hotmail.com;7385540090;Rivadavia;34;8 C;1034;Balvanera;Capital Federal;Argentina;femenino
48;Dora;Gonzalez;70;Dora_Gonzalez@hotmail.com;159454379;Rivadavia;59;;6746;Cucha Cucha;Buenos Aires;Argentina;femenino
49;Nora;Perez;68;Nora_Perez@hotmail.com;1828824534;San Martin;40;18 D;1035;Monserrat;Capital Federal;Argentina;femenino
50;Martha;Rodriguez;66;Martha_Rodriguez@telegram.com;3648181513;Sarmiento;27330;14 B;1036;San Nicolas;Capital Federal;Argentina;femenino
51;Beitris;Torres;50;BeitrisTorres@sodimac.com;1882084144;Belgrano;11388;1;2129;Pueblo Esther;Santa Fe;Argentina;femenino
52;Yolanda;Torres;29;Yolanda_Torres@sodimac.com;2727531443;Sarmiento;0;16 E;2249;Irigoyen;Santa Fe;Argentina;femenino
53;Georas;Garcia;52;GeorasGarcia@yahoo.com;7129733837;Sarmiento;3;19;5619;Rama Caida;Mendoza;Argentina;femenino
54;Tina;Gonzalez;54;Tina_Gonzalez@gmail.com;4971838058;Rivadavia;85;1;1823;Gerli;Buenos Aires;Argentina;femenino
55;Salma;Garcia;33;Salma_Garcia@yahoo.com;6110145009;Sarmiento;389;;4226;Villa Rio Hondo;Santiago Del Estero;Argentina;femenino
56;Marisa;Sanchez;48;MariasaSanchez@yahoo.com;2500346595;Rivadavia;259;13 D;1037;San Nicolas;Capital Federal;Argentina;femenino
57;Bellina;Ramirez;72;BellinaRamirez@hotmail.com;2099182043;Rivadavia;8414;2 B;1038;San Nicolas;Capital Federal;Argentina;femenino
58;Luis;Martinez;33;LuisMartinez@yahoo.com;3255026768;Independencia;19385;;5374;C Embarcadero Fcgb;La Rioja;Argentina;masculino
59;Sofia;Perez;55;Sofia_Perez@hotmail.com;3592350803;Belgrano;176;;4221;La Donosa;Santiago Del Estero;Argentina;femenino
60;Clara;Lopez;58;Clara_Lopez@sodimac.com;5604004952;Independencia;19048;15 B;1039;Balvanera;Capital Federal;Argentina;femenino
61;Konstantin;Martinez;48;KonstantinMartinez@hotmail.com;7060178104;Sarmiento;823;5 B;1040;Balvanera;Capital Federal;Argentina;masculino
62;Pedro;Gonzalez;22;Pedro_Gonzalez@hotmail.com;4038723984;Rivadavia;3;;1041;San Nicolas;Capital Federal;Argentina;masculino
63;Francisco;Torres;63;Francisco_Torres@sodimac.com;6577862117;Rivadavia;72;3 C;1750;Las Malvinas;Buenos Aires;Argentina;masculino
64;Nora;Ramirez;29;Nora_Ramirez@yahoo.com;6386871545;Independencia;60;8 C;3135;Aldea San Rafael;Entre Rios;Argentina;femenino
65;Violeta;Ramirez;61;Violeta_Ramirez@hotmail.com;7368195488;Sarmiento;97566;;1042;San Nicolas;Capital Federal;Argentina;femenino
66;Carlos;Ramirez;53;Carlos_Ramirez@hotmail.com;1008370886;Belgrano;355;8 C;3136;Alcaraz Norte;Entre Rios;Argentina;masculino
67;Luis;Hernandez;42;Luis_Hernandez@telegram.com;1065660073;San Martin;3899;;5630;Ingeniero Balloffet;Mendoza;Argentina;masculino
68;Marillin;Garcia;72;MarillinGarcia@yahoo.com;7166559624;Belgrano;43683;13;1043;San Nicolas;Capital Federal;Argentina;femenino
69;Pilar;Garcia;35;Pilar_Garcia@yahoo.com;2642706168;San Martin;9175;7 D;1044;Balvanera;Capital Federal;Argentina;femenino
70;Ammamaria;Sanchez;49;AmmamariaSanchez@yahoo.com;847807568;Rivadavia;745;2 C;1045;Balvanera;Capital Federal;Argentina;femenino
71;Collette;Sanchez;62;ColletteSanchez@sodimac.com;5853918907;Independencia;1;12 B;1046;Balvanera;Capital Federal;Argentina;femenino
72;Valentina;Ramirez;33;Valentina_Ramirez@gmail.com;8983186550;Independencia;1;8 B;3452;Pedro R Fernandez;Corrientes;Argentina;femenino
73;Chantalle;Hernandez;53;ChantalleHernandez@sodimac.com;1708375627;Sarmiento;20;4 C;1868;Piñeyro;Buenos Aires;Argentina;femenino
74;Carry;Hernandez;24;CarryHernandez@sodimac.com;858236338;Independencia;107;19 E;1047;San Nicolas;Capital Federal;Argentina;masculino
75;Miguel;Torres;24;Miguel_Torres@hotmail.com;1957862513;Rivadavia;89470;18;8400;Bariloche;Rio Negro;Argentina;masculino
76;Pedro;Hernandez;18;Pedro_Hernandez@gmail.com;4495075004;Rivadavia;66;16 E;3369;Guarani;Misiones;Argentina;masculino
77;Aimil;Hernandez;34;AimilHernandez@telegram.com;249949849;Belgrano;44279;9 C;1048;San Nicolas;Capital Federal;Argentina;masculino
78;Luce;Garcia;26;LuceGarcia@yahoo.com;1980965056;Sarmiento;0;6 B;1049;San Nicolas;Capital Federal;Argentina;femenino
79;Pedro;Hernandez;66;Pedro_Hernandez@telegram.com;5108733844;Independencia;27709;6 D;7400;Barrio La Luisa;Buenos Aires;Argentina;masculino
80;Sherilyn;Ramirez;18;SherilynRamirez@telegram.com;1109611765;Independencia;931;19 C;1050;Balvanera;Capital Federal;Argentina;femenino
81;Tommie;Gonzalez;29;TommieGonzalez@telegram.com;395464862;Sarmiento;944; E;1051;Balvanera;Capital Federal;Argentina;masculino
